日期,现存确诊,累计境外输入,现存无症状,现存确诊重症,累计确诊,累计死亡,累计治愈,现存疑似
06.14,220,1837,112,2,84778,4645,79913,3
06.13,178,1827,103,1,84729,4645,79906,2
06.12,123,1808,98,0,84671,4645,79903,1
06.11,118,1803,104,0,84659,4645,79896,1
06.10,119,1797,129,0,84652,4645,79888,1
06.09,113,1786,155,0,84641,4645,79883,2
06.08,118,1783,174,0,84638,4645,79875,1
06.07,124,1780,201,0,84634,4645,79865,4
06.06,130,1776,236,0,84629,4645,79854,3
06.05,127,1771,257,1,84620,4645,79848,2
06.04,127,1768,297,1,84614,4645,79842,2
06.03,127,1763,326,2,84603,4645,79831,3
06.02,133,1762,357,2,84602,4645,79824,3
06.01,128,1761,371,3,84597,4645,79824,2
05.31,131,1756,397,3,84588,4645,79812,3
05.30,119,1740,389,3,84570,4645,79806,4
05.29,118,1738,396,3,84565,4645,79802,5
05.28,111,1734,409,4,84547,4645,79791,5
05.27,116,1734,413,4,84547,4645,79786,5
05.26,125,1732,404,5,84544,4645,79774,6
05.25,131,1731,403,7,84543,4645,79767,5
05.24,134,1724,396,7,84536,4645,79757,6
05.23,134,1713,371,8,84525,4645,79746,9
05.22,137,1711,370,9,84522,4645,79740,6
05.21,139,1711,365,8,84520,4645,79736,7
05.20,140,1709,375,8,84507,4645,79722,7
05.19,145,1708,368,2,84505,4645,79715,7
05.18,147,1707,389,10,84500,4645,79708,3
05.17,148,1704,448,8,84494,4645,79701,4
05.16,157,1700,515,10,84484,4645,79682,4
05.15,166,1698,561,11,84478,4644,79668,3
05.14,181,1692,619,11,84469,4644,79644,4
05.13,199,1692,712,9,84464,4644,79621,4
05.12,220,1692,750,10,84458,4644,79594,4
05.11,241,1691,760,10,84451,4644,79566,3
05.10,274,1690,780,9,84450,4643,79533,3
05.09,299,1683,794,13,84430,4643,79488,4
05.08,372,1681,836,15,84416,4643,79401,8
05.07,448,1680,854,18,84415,4643,79324,6
05.06,498,1680,880,23,84409,4643,79268,4
05.05,559,1678,903,26,84406,4643,79204,5
05.04,635,1676,947,29,84404,4643,79126,2
05.03,741,1675,962,33,84400,4643,79016,3
05.02,811,1672,968,34,84393,4643,78939,10
05.01,840,1671,989,37,84388,4643,78905,11
04.30,897,1670,981,38,84385,4643,78845,9
04.29,945,1664,998,41,84373,4643,78785,10
04.28,997,1660,993,50,84369,4643,78729,10
04.27,1040,1639,997,50,84347,4643,78664,9
04.26,1140,1636,974,52,84341,4643,78558,10
04.25,1246,1634,1000,51,84338,4642,78450,12
04.24,1320,1629,983,49,84324,4642,78362,17
04.23,1433,1618,979,57,84311,4642,78236,20
04.22,1513,1616,984,63,84302,4642,78147,20
04.21,1603,1610,991,78,84287,4642,78042,35
04.20,1630,1587,992,82,84250,4642,77978,37
04.19,1700,1583,990,81,84237,4642,77895,43
04.18,1734,1575,999,85,84201,4642,77825,48
04.17,1794,1566,1017,85,84180,4642,77744,63
04.16,1872,1549,1038,89,84149,4642,77635,62
04.15,1941,1534,1032,95,83797,3352,78504,63
04.14,2004,1500,1023,113,83745,3352,78389,73
04.13,2083,1464,1005,116,83696,3351,78262,72
04.12,2101,1378,1064,121,83597,3351,78145,72
04.11,2113,1280,1086,139,83482,3349,78020,82
04.10,2085,1183,1092,141,83369,3349,77935,44
04.09,2122,1141,1097,144,83305,3345,77838,53
04.08,2194,1103,1104,176,83249,3344,77711,73
04.07,2229,1042,1095,189,83157,3342,77586,83
04.06,2281,983,1033,211,83071,3340,77450,89
04.05,2317,951,1047,265,83005,3340,77348,88
04.04,2382,913,1024,295,82930,3338,77210,107
04.03,2556,888,1030,331,82875,3335,76984,114
04.02,2686,870,1027,379,82802,3331,76785,135
04.01,2787,842,1075,429,82724,3327,76610,153
03.31,2895,808,1367,466,82631,3321,76415,172
03.30,3006,771,1541,528,82545,3314,76225,183
03.29,3199,723,,652,82447,3311,75937,168
03.28,3435,693,,742,82341,3306,75600,174
03.27,3790,649,,921,82213,3301,75122,184
03.26,4043,595,,1034,82078,3298,74737,189
03.25,4471,541,,1235,81960,3293,74196,159
03.24,4768,474,,1399,81846,3287,73791,134
03.23,5165,427,,1573,81747,3283,73299,132
03.22,5483,353,,1749,81600,3276,72841,136
03.21,5849,314,,1845,81498,3267,72382,118
03.20,6279,269,,1963,81416,3261,71876,106
03.19,6763,228,,2136,81300,3253,71284,104
03.18,7438,189,,2314,81235,3250,70547,105
03.17,8184,155,,2622,81151,3242,69725,119
03.16,9086,143,,2830,81116,3231,68799,128
03.15,9996,123,,3032,81077,3218,67863,134
03.14,10822,111,,3226,81048,3204,67022,113
03.13,12178,95,,3610,81021,3194,65649,115
03.12,13607,88,,4020,81003,3180,64216,147
03.11,14920,85,,4257,80980,3173,62887,253
03.10,16226,79,,4492,80955,3162,61567,285
03.09,17802,69,,4794,80924,3140,59982,349
03.08,19097,67,,5116,80904,3123,58684,421
03.07,20616,63,,5264,80859,3100,57143,458
03.06,22263,60,,5489,80813,3073,55477,502
03.05,23872,36,,5737,80710,3045,53793,482
03.04,25441,20,,5952,80565,3015,52109,522
03.03,27524,0,,6416,80422,2984,49914,520
03.02,30096,0,,6806,80302,2946,47260,587
03.01,32741,0,,7110,80174,2915,44518,715
02.29,35420,0,,7365,79968,2873,41675,851
02.28,37502,0,,7664,79389,2838,39049,1418
02.27,40011,0,,7952,78959,2791,36157,2308
02.26,43352,0,,8346,78630,2747,32531,2358
02.25,45697,0,,8752,78190,2718,29775,2491
02.24,47760,0,,9126,77779,2666,27353,2824
02.23,49910,0,,9915,77262,2595,24757,3434
02.22,51494,0,,0,76846,2445,22907,4148
02.21,53371,0,,0,76392,2348,20673,5365
02.20,55488,0,,0,75993,2239,18266,5206
02.19,56386,0,,0,74675,2121,16168,4922
02.18,57886,0,,0,74279,2006,14387,5248
02.17,58097,0,,0,72528,1870,12561,6242
02.16,58010,0,,0,70635,1772,10853,7264
02.15,57493,0,,0,68584,1666,9425,8228
02.14,56951,0,,0,66576,1524,8101,8969
02.13,55823,0,,0,63932,1381,6728,10109
02.12,52599,0,,0,59882,1368,5915,13485
02.11,38874,0,,0,44730,1114,4742,16067
02.10,37693,0,,0,42708,1017,3998,21675
02.09,36043,0,,0,40235,909,3283,23589
02.08,33788,0,,0,37251,812,2651,28942
02.07,31823,0,,0,34598,723,2052,27657
02.06,29032,0,,0,31211,637,1542,26359
02.05,26343,0,,0,28060,564,1153,24702
02.04,22980,0,,0,24363,491,892,23260
02.03,19414,0,,0,20471,425,632,23214
02.02,16402,0,,0,17238,361,475,21558
02.01,13779,0,,0,14411,304,328,19544
01.31,11319,0,,0,11821,259,243,17988
01.30,9336,0,,0,9720,213,171,15238
01.29,7442,0,,0,7736,170,124,12167
01.28,5739,0,,0,5974,132,103,9239
01.27,4349,0,,0,4515,106,60,6973
01.26,2613,0,,0,2744,80,51,5794
01.25,1870,0,,0,1975,56,49,2684
01.24,1208,0,,0,1287,41,38,1965
01.23,771,0,,0,830,25,34,1072
01.22,524,0,,0,571,17,30,348
01.21,406,0,,0,440,9,25,91
01.20,227,0,,0,258,6,25,54
01.19,169,0,,0,198,4,25,
01.18,94,0,,0,121,3,24,
01.17,41,0,,0,62,2,19,
01.16,36,0,,0,45,2,7,
01.15,33,0,,0,41,1,7,
01.14,33,0,,0,41,1,7,
01.13,33,0,,0,41,1,7,
01.12,34,0,,0,41,1,6,
01.11,34,0,,0,41,1,6,
